Altium Designer Pick and Place Locations
C:\Users\tmadu\Documents\Amateur Radio\Kenwood-TS50s-Digi-Interface\Kenwood-TS50s-Digi-Interface\Project Outputs for Kenwood-TS50s-Digi-Interface\Pick Place\Pick Place for ts-50s-digi-interface.csv

========================================================================================================================
File Design Information:

Date:       01/02/22
Time:       10:44
Revision:   3be750d9d36352e94ff5961842c705da288a4dcd
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"TP4","+5V_R","TopLayer","KSTN-5001","3205.000","14810.000","0","Test Point, Black, 1-Pin THD, RoHS, Bulk"
"TP6","SPK OUT","TopLayer","KSTN-5001","2890.000","13785.000","0","Test Point, Black, 1-Pin THD, RoHS, Bulk"
"TP5","DIGI","TopLayer","KSTN-5001","1845.000","13610.000","0","Test Point, Black, 1-Pin THD, RoHS, Bulk"
"VR1","3852A-282-103AL","TopLayer","BOUR-3852A-282-103AL-3_V","3072.483","13157.470","0","Diameter Panel Control, 100 KOhm, +/- 10%, 2 W, -1 to 125 degC, 3-Pin THD, RoHS, Bulk"
"U5","CAT-Rx","TopLayer","Vishay_4N35_0","3555.000","14110.000","360","IC OPTOISO 5KV TRANS W/BASE 6DIP"
"U4","CAT-Tx","TopLayer","Vishay_4N35_0","3106.667","14110.000","360","IC OPTOISO 5KV TRANS W/BASE 6DIP"
"U3","PTT","TopLayer","Vishay_4N35_0","2658.333","14110.000","360","IC OPTOISO 5KV TRANS W/BASE 6DIP"
"U2","PTT","TopLayer","Vishay_4N35_0","2210.000","14110.000","360","IC OPTOISO 5KV TRANS W/BASE 6DIP"
"U1","CH340B","TopLayer","SOIC-16","2905.000","14701.969","270","Transceiver USB 2.0 2Mbps SOP-16_150mil USB ICs RoHS"
"TP3","+5V","TopLayer","KSTN-5001","2380.000","14815.000","90","Test Point, Black, 1-Pin THD, RoHS, Bulk"
"TP2","GND_R","TopLayer","KSTN-5001","2110.000","14380.000","90","Test Point, Black, 1-Pin THD, RoHS, Bulk"
"TP1","GND","TopLayer","KSTN-5001","1970.000","14380.000","90","Test Point, Black, 1-Pin THD, RoHS, Bulk"
"T2","SM-LP-5001","TopLayer","SM-LP-5001","2395.000","13510.000","360","TRANSFORMER LINE MATCHING SMD"
"T1","SM-LP-5001","TopLayer","SM-LP-5001","3310.000","13510.000","360","TRANSFORMER LINE MATCHING SMD"
"SW2","Voice <--> Digital, CW","TopLayer","FP-A101SDCQ04-MFG","2505.000","12780.000","0","SWITCH TOGGLE SPDT 5A 120V"
"SW1","RST","TopLayer","FP-B3U-1000P-B-MFG","2450.000","14705.000","360","SWITCH TACTILE SPST-NO 0.05A 12V"
"R12","330 Ohms","TopLayer","RES_0603_1608","3845.000","14140.000","90","RES SMD 330 OHM 1% 1/10W 0603"
"R11","330 Ohms","TopLayer","RES_0603_1608","3405.000","14350.000","270","RES SMD 330 OHM 1% 1/10W 0603"
"R10","330 Ohms","TopLayer","RES_0603_1608","3360.000","15330.000","270","RES SMD 330 OHM 1% 1/10W 0603"
"R9","1 kOhms","TopLayer","RES_0603_1608","3895.000","13392.087","90","RES SMD 1K OHM 1% 1/10W 0603"
"R8","330 Ohms","TopLayer","RES_0603_1608","2960.000","14345.000","90","RES SMD 330 OHM 1% 1/10W 0603"
"R7","330 Ohms","BottomLayer","RES_0603_1608","1865.000","14540.000","270","RES SMD 330 OHM 1% 1/10W 0603"
"R6","330 Ohms","BottomLayer","RES_0603_1608","1870.000","14235.000","270","RES SMD 330 OHM 1% 1/10W 0603"
"R5","2kR","TopLayer","RESC1608X55X25NL10T15","2413.794","14972.209","180",""
"R4","2kR","TopLayer","RESC1608X55X25NL10T15","2413.794","14909.925","180",""
"R3","2kR","TopLayer","RESC1608X55X25NL10T15","2420.000","15255.000","270",""
"R2","DNP","TopLayer","FP-RC0603-MFG","2035.000","14480.000","360","DNP"
